week,film_noir
10/02/22,68
10/09/22,73
10/16/22,58
10/23/22,59
10/30/22,72
11/06/22,70
11/13/22,77
11/20/22,57
11/27/22,56
12/04/22,76
12/11/22,63
12/18/22,52
